kategooria	eesti	80553
viited	kategooria	74308
kategooria	sündinud	62856
viited	välislingid	60612
vaata	ka	45978
mis	on	37959
ei	ole	34845
ta	on	33359
kategooria	surnud	31686
ameerika	ühendriikide	31583
sündinud	kategooria	31178
kui	ka	30740
oli	ta	30279
välislingid	kategooria	27160
tartu	ülikooli	25759
ta	oli	23657
jpg	pisi	22779
alates	aastast	21769
see	on	21533
eesti	nsv	20185
on	eesti	20179
vilistlased	kategooria	19899
mängijad	kategooria	18873
oli	eesti	16698
inglise	keeles	16322
ja	aastal	15792
on	ka	14736
aastal	oli	14355
on	ta	13555
nsv	liidu	13036
ja	selle	12614
kavalerid	kategooria	12546
kategooria	tartu	12527
aastatel	oli	12496
of	the	12052
kategooria	ameerika	11765
viited	kirjandus	11564
nõukogude	liidu	11489
on	küla	11305
aastal	sai	11166
vene	keeles	11147
koduleht	kategooria	11037
liikmed	kategooria	10994
ei	olnud	10807
ei	saa	10533
pindala	on	10114
mis	oli	10027
ja	tema	10019
sai	ta	9827
esimest	korda	9811
on	km	9707
on	võimalik	9673
on	üks	9649
on	olnud	9561
saksa	keeles	9445
on	linn	9434
et	ta	9387
on	see	9381
kes	on	9340
jalgpallurid	kategooria	9312
kuni	aastani	9268
võib	olla	9241
kategooria	aasta	9074
lõpetas	aastal	8960
pärast	seda	8838
nii	et	8732
ameerika	ühendriikides	8692
kes	oli	8595
kus	ta	8537
see	oli	8477
kategooria	tallinna	8149
samal	ajal	8058
töötas	ta	8023
et	see	8001
aastal	ja	7929
maetud	kategooria	7875
eesti	keeles	7685
ja	eesti	7625
kategooria	venemaa	7536
nbsp	km	7495
ja	nende	7481
mängis	ta	7436
elanike	arv	7302
ja	on	7241
aastast	on	7227
euroopa	liidu	7129
aastad	aastad	6885
keeles	kategooria	6808
ta	lõpetas	6801
nr	lk	6798
kui	ta	6790
aasta	rahvaloenduse	6739
ja	see	6651
aasta	seisuga	6561
keeles	on	6549
ja	poliitik	6507
samal	aastal	6449
oli	ka	6442
eesti	vabariigi	6425
teaduste	akadeemia	6340
on	vald	6274
ülikooli	vilistlased	6247
ka	eesti	6127
oli	aastatel	6042
ordeni	kavalerid	5924
kalmistule	maetud	5886
oli	see	5779
pikkus	on	5756
on	väga	5724
vald	kategooria	5691
rohkem	kui	5658
new	york	5644
poliitikud	kategooria	5638
siis	kui	5556
teise	maailmasõja	5546
ja	ta	5538
de	la	5512
ta	ei	5453
venemaa	keisririigi	5439
võitis	ta	5338
tänav	on	5306
seisuga	oli	5263
aastal	aastal	5195
järgi	on	5143
on	saanud	5123
aastatel	ja	5106
ning	on	5031
ja	aasta	5006
umbes	km	4988
oli	aastal	4972
tema	isa	4943
eesti	näitleja	4804
lõi	ta	4799
in	the	4789
sama	aasta	4775
sel	ajal	4752
ja	oli	4737
re	issöör	4726
nime	all	4702
linnad	kategooria	4702
ta	aastal	4673
eesmärk	on	4653
aastal	lõpetas	4642
ta	eesti	4619
on	nbsp	4615
kuulus	küla	4606
millel	on	4598
oli	aasta	4594
ja	sai	4585
teenetemärgi	kavalerid	4528
välislingid	koduleht	4527
mis	ei	4501
valiti	ta	4496
aastal	tallinna	4473
aastal	kui	4454
on	kaks	4430
mõisad	kategooria	4428
on	tuntud	4391
õppis	ta	4382
see	et	4377
seda	kui	4369
isiklikku	tema	4362
ja	ka	4355
ja	seda	4327
klassi	teenetemärgi	4306
ta	oma	4282
riikliku	ülikooli	4269
selleks	et	4244
on	seotud	4226
samuti	on	4200
ei	saanud	4200
oli	üks	4198
et	nad	4192
ning	aastal	4182
tal	on	4176
ning	see	4156
ning	selle	4147
vaimulikud	kategooria	4141
järgu	haldusüksus	4127
näitleja	ja	4117
ta	sai	4116
sajandi	alguses	4090
lõpetas	ta	4075
on	umbes	4061
maailmasõja	ajal	4044
on	aastal	4043
poliitik	ja	4042
tallinn	lk	4042
kuni	kg	3998
ta	ka	3994
kus	on	3993
on	tänav	3964
kategooria	saksamaa	3958
sõlmis	ta	3951
see	ei	3946
eesti	raamat	3945
võivad	olla	3944
ta	õppis	3919
koguduse	õpetaja	3917
aasta	juulis	3913
aasta	jooksul	3908
aastal	tartu	3907
eesti	ja	3893
klassi	teenetemärk	3888
tuli	ta	3879
tallinn	eesti	3871
kategooria	soome	3846
need	on	3838
kes	mängib	3819
nad	on	3814
aga	ka	3812
aastatel	töötas	3796
km	kaugusel	3773
kategooria	läti	3757
ametlikud	tulemused	3743
eesti	keele	3723
on	kasutatud	3718
on	ameerika	3705
muu	hulgas	3697
ajal	oli	3696
jaanuari	seisuga	3679
keelest	tõlkinud	3679
sai	aastal	3670
mis	asub	3669
aasta	jaanuaris	3663
kui	see	3655
lisaks	on	3650
oli	esimene	3642
and	the	3613
new	yorgi	3581
kirjanik	ja	3579
aastast	oli	3578
on	olemas	3574
on	tavaliselt	3550
tähendab	et	3547
juhul	kui	3531
eestis	on	3524
on	lõpetanud	3520
on	oma	3495
rahvaloenduse	andmetel	3493
tartu	ülikoolis	3489
kategooria	rootsi	3484
aasta	augustis	3472
on	esmamainitud	3466
aastal	valiti	3464
tänapäeval	on	3454
on	järgu	3441
enam	kui	3436
peab	olema	3421
neil	on	3415
ning	ta	3394
muusika	ja	3386
andmetel	oli	3365
eesti	sõjaväelane	3359
on	kõige	3357
puhul	on	3355
esmamainitud	aastal	3352
siis	on	3339
iv	klassi	3335
näitlejad	kategooria	3334
tartu	riikliku	3329
on	aga	3328
inimesed	kategooria	3324
ja	hiljem	3322
eesti	päevaleht	3318
suurem	osa	3316
on	selle	3315
http	www	3299
mille	käigus	3289
kirjanikud	kategooria	3285
kuid	see	3282
kategooria	suurbritannia	3273
tallinna	tehnikaülikooli	3268
oli	külas	3267
on	tema	3266
euroopa	parlamendi	3258
oli	eestis	3248
align	center	3243
on	leitud	3218
tegemist	on	3211
aastal	ning	3209
aasta	juunis	3198
isa	oli	3194
lk	välislingid	3184
välja	arvatud	3181
kategooria	prantsusmaa	3179
on	oluline	3161
aja	jooksul	3159
on	nimetatud	3147
tegi	ta	3147
valla	halduskeskus	3138
nbsp	mm	3134
aasta	märtsis	3126
ja	teiste	3120
ta	töötas	3119
ta	tartu	3111
kaks	korda	3109
on	palju	3088
ja	seejärel	3085
mis	tähendab	3072
teatas	et	3070
juhatuse	liige	3063
asutati	aastal	3059
vallad	kategooria	3059
eesti	omavalitsuste	3050
et	tema	3048
mida	on	3043
on	säilinud	3042
arv	oli	3024
eurovisiooni	lauluvõistlusel	3020
lauljad	kategooria	3015
kodulehel	kategooria	3010
laulja	ja	3004
ning	nende	3001
et	kui	2995
elas	seal	2994
aasta	septembris	2993
ning	oli	2986
eetris	saatejuht	2982
tallinn	oli	2978
ja	tallinna	2969
kategooria	itaalia	2968
new	yorgis	2960
jõe	ääres	2960
aasta	mais	2953
kaitse	all	2953
piirkonna	külad	2953
liitus	ta	2942
aastal	kuulus	2935
ja	tartu	2924
on	vaja	2921
tunnustus	eesti	2910
aasta	suvel	2909
eesti	poliitik	2906
kategooria	pärnu	2902
aasta	detsembris	2897
all	on	2895
euroopa	meistrivõistlustel	2888
kuni	aasta	2885
mida	kasutatakse	2885
moodustati	aastal	2874
eesti	vaimulik	2854
aasta	veebruaris	2851
kuid	ei	2850
aasta	oktoobris	2842
sündinud	märtsil	2836
maakonna	halduskeskus	2831
sai	temast	2820
aasta	euroopa	2817
kategooria	eestlased	2808
aastal	eesti	2806
seda	on	2796
aasta	sügisel	2792
maakonna	külad	2784
et	on	2778
ei	tohi	2769
fc	mängijad	2767
küla	asub	2763
eesti	ajakirjanik	2755
university	press	2751
ajalugu	kategooria	2747
sai	alguse	2746
on	välja	2744
igal	aastal	2743
aasta	maailmameistrivõistlustel	2741
sündinud	jaanuaril	2740
aastatel	mängis	2735
sündinud	aprillil	2733
hulka	kuuluvad	2728
kategooria	nõukogude	2725
halduskeskus	on	2724
sündinud	mail	2724
meetri	kõrgusel	2718
valla	pindala	2717
seal	inimest	2716
aastal	liideti	2714
arvatakse	et	2712
aastat	hiljem	2706
ei	suutnud	2705
suur	osa	2694
oli	tema	2691
enne	kui	2690
teises	maailmasõjas	2688
premier	league	2684
ja	aastatel	2683
ta	koos	2674
ta	sündis	2664
on	meetrit	2662
alates	aasta	2660
iii	klassi	2660
lk	kategooria	2648
tallinna	ülikooli	2646
mis	olid	2646
aastal	tuli	2644
aasta	suveolümpiamängudel	2642
mida	ta	2640
ning	seda	2637
tema	abikaasa	2634
kõige	rohkem	2631
sõja	ajal	2630
sündinud	juulil	2621
külad	kategooria	2616
ta	alustas	2613
jalgpallur	kes	2607
on	alates	2604
saanud	nime	2599
koosseis	kategooria	2599
esimese	maailmasõja	2598
osales	ta	2591
sündinud	juunil	2585
on	maetud	2584
johann	von	2582
sündinud	veebruaril	2580
esimese	värava	2564
aastal	pärast	2560
kategooria	püha	2558
kategooria	viljandi	2558
tuntud	ka	2556
ta	tallinna	2553
on	the	2531
aastal	ilmunud	2530
on	näiteks	2525
png	pisi	2522
nagu	näiteks	2521
ning	tema	2520
aasta	novembris	2517
teisel	poolel	2512
aastal	ilmus	2512
on	nii	2494
sajandi	lõpus	2492
rahvaloenduse	järgi	2488
kohta	on	2487
sündinud	augustil	2480
et	need	2477
aastal	võitis	2475
on	teada	2471
sündinud	septembril	2470
eesti	muusika	2468
sellest	et	2467
on	kasutusel	2467
ka	tema	2467
küla	lätis	2461
tema	poeg	2460
ja	venemaa	2459
ja	näitleja	2459
ajakirjanik	ja	2457
on	endine	2455
kategooria	valgetähe	2452
ja	üks	2446
ka	kui	2445
sündinud	oktoobril	2441
on	aasta	2439
oma	esimese	2431
prantsuse	keeles	2429
koguduse	vaimulikud	2429
aserbaid	aani	2426
liige	ja	2425
aastal	valminud	2414
ja	kaks	2413
ja	või	2412
haridus	ja	2410
aasta	jaanuari	2406
see	tähendab	2405
omavalitsuste	haldusreformi	2399
on	eestis	2398
seal	on	2397
aasta	aprillis	2393
kihelkond	kategooria	2389
km	ja	2384
liige	ta	2380
vallas	küla	2376
kategooria	ukraina	2371
on	kolm	2370
sündis	aastal	2369
mis	võimaldab	2368
kes	olid	2367
aastal	viited	2366
sündinud	detsembril	2365
on	samuti	2363
tallinnas	on	2359
tuntud	kui	2356
mille	kohaselt	2354
nime	saanud	2344
ja	teised	2343
