align	right	596971
right	align	477502
v	roku	248325
iné	projekty	155708
right	mba	117623
externé	odkazy	88333
pozri	aj	82625
v	departemente	81849
projekty	kategória	75709
socorro	linear	67749
sa	nachádza	59640
aj	zoznam	55969
referencie	pozri	54617
kategória	obce	53903
projekty	externé	53266
v	obci	50076
ktorá	sa	49762
v	rokoch	47472
sa	v	45718
a	v	44540
na	slovensku	44203
má	rozlohu	43872
obce	v	43518
v	regióne	43100
zoznam	obcí	42623
nachádza	v	42244
v	okrese	38493
francúzska	obec	38105
referencie	iné	37137
najvyšší	bod	36932
od	roku	36905
bod	je	36704
najnižší	bod	36632
je	položený	36558
a	najnižší	36554
rozlohu	najvyšší	36543
položený	a	36534
je	francúzska	36527
obec	ktorá	36415
bod	obyvateľstvo	36377
počet	obyvateľov	36118
obcí	departementu	36037
obyvateľov	v	35161
obec	má	34709
obce	je	34681
počtu	obyvateľov	34524
obyvateľstvo	počet	34175
obyvateľov	obce	34163
poloha	obec	34151
vývoj	počtu	34112
zobrazuje	vývoj	33654
nasledujúci	graf	33650
graf	zobrazuje	33646
zdroj	kategória	33498
obci	referencie	33193
môže	byť	32097
je	nasledujúci	31338
z	roku	30444
roku	sa	29532
kategória	osobnosti	26291
v	česku	25188
sa	na	24628
oficiálna	stránka	22697
v	bratislave	21784
sa	stal	20977
kategória	slovenskí	20644
pred	kr	20349
mba	september	20060
odkazy	oficiálna	20019
a	na	19959
roku	v	19809
odkazy	kategória	19459
nie	je	19378
ktorý	sa	18963
je	to	18921
ktoré	sa	18599
osobnosti	z	18468
spolu	s	18215
až	do	18074
aj	v	17146
do	roku	17134
a	jeho	15911
roku	bol	15883
v	rámci	15455
je	v	15061
v	kategória	14677
usa	kategória	14583
obec	v	14142
v	súčasnosti	14032
roku	a	13771
kategória	astronomické	13701
projekty	zdroj	13642
objavené	v	13588
mba	október	13581
v	storočí	13548
astronomické	objekty	13516
objekty	objavené	13456
kategória	hráči	13410
v	tomto	13105
a	je	12922
v	tom	12651
v	meste	12623
na	území	12409
mba	marec	12286
kde	sa	12221
viac	ako	12013
ktorú	objavil	12002
nachádza	sa	11928
z	toho	11923
september	socorro	11740
v	oblasti	11654
v	ktorom	11571
ako	aj	11521
slovensku	kategória	11505
a	to	11422
sa	však	11269
obce	okresu	11260
referencie	kategória	11228
je	obec	11205
na	základe	11160
ide	o	11113
aby	sa	11082
mba	august	11073
ale	aj	11055
bol	v	11029
referencie	externé	10787
ktorý	bol	10783
na	stránke	10592
rokoch	až	10488
mba	december	10461
keď	sa	10348
aj	na	10232
žije	tu	10164
mba	november	10119
o	miesto	9825
of	the	9694
že	sa	9677
tu	obyvateľov	9628
svetovej	vojny	9600
už	v	9557
z	nich	9491
majstrovstvá	sveta	9251
je	možné	9047
v	maďarsku	9001
v	súhvezdí	8829
ktorý	je	8819
mba	apríl	8760
v	poľsku	8668
kategória	súhvezdie	8668
jeden	z	8658
v	sezóne	8631
a	s	8626
mba	február	8612
mba	január	8607
roku	bola	8565
sa	tu	8372
v	tejto	8093
ktoré	sú	8062
sa	do	8036
slovenskej	republiky	7924
kitt	peak	7856
roku	na	7790
v	usa	7770
peak	spacewatch	7759
ngc	ngc	7693
ngc	je	7679
druhej	svetovej	7663
vodné	toky	7642
ngc	objektov	7604
v	priebehu	7602
zoznam	ngc	7602
česku	v	7599
anderson	mesa	7524
na	mieste	7516
napriek	tomu	7501
ktorá	je	7500
jedným	z	7496
kategória	vodné	7429
mesa	loneos	7418
from	till	7380
v	prahe	7315
nadmorskej	výške	7293
v	čase	7263
v	ktorej	7240
mužov	a	7224
v	banskej	7202
a	jej	7168
až	po	7153
veľkosť	je	7086
december	socorro	7054
vo	francúzsku	7052
hviezdna	veľkosť	7017
mba	máj	7009
v	nadmorskej	6995
zdanlivá	hviezdna	6975
jej	zdanlivá	6941
žilo	obyvateľov	6937
a	tak	6906
new	york	6902
sa	stala	6882
v	období	6866
v	prípade	6851
na	konci	6831
