ci	ildə	246261
və	ya	92145
cü	ildə	88408
istinadlar	kateqoriya	74594
xarici	keçidlər	67169
həmçinin	bax	65772
cı	ildə	55448
cu	ildə	54965
ci	il	53659
ci	ilin	53360
istinadlar	xarici	46704
istinadlar	həmçinin	33305
ci	illərdə	33064
həm	də	31469
bir	çox	31315
kateqoriya	azərbaycan	31120
bir	neçə	31052
filmləri	kateqoriya	28769
kateqoriya	ci	28286
ci	ildən	27497
daha	sonra	25809
azərbaycan	respublikasının	22414
və	bu	21652
keçidlər	kateqoriya	21541
cinsinə	aid	21200
aid	bitki	20823
cı	il	20743
dəstəsinin	fəsiləsinin	20714
ilk	dəfə	20470
fəsiləsinin	cinsinə	20307
ilə	bağlı	20085
aləminin	dəstəsinin	19724
etmək	üçün	19619
bax	kateqoriya	19495
və	onun	19199
azərbaycan	respublikası	19133
oyunçuları	kateqoriya	18878
ilə	birlikdə	18604
cü	ilin	18541
təşkil	edir	18513
daha	çox	17600
eyni	zamanda	17288
və	digər	17266
bir	sıra	17247
cü	il	17185
bitki	növü	17153
daxil	olan	17135
nbsp	km	16853
və	ci	16656
filmlər	kateqoriya	15862
ən	böyük	15266
ilə	qədər	14626
ən	yaxşı	14432
obyektləri	kateqoriya	14201
ki	bu	13976
of	the	13852
heç	bir	13340
cu	ilin	13321
yeni	ümumi	12963
from	till	12837
kataloqu	obyektləri	12821
cu	il	12620
kateqoriya	abş	12423
kəşf	edilmiş	12291
azərbaycan	dövlət	12159
o	cümlədən	12089
astronomik	obyektlər	11957
edilmiş	astronomik	11942
eləcə	də	11821
görə	də	11781
azərbaycan	ssr	11572
kateqoriya	cü	11554
yay	olimpiya	11481
istifadə	olunur	11450
anadan	olmuşdur	11396
bu	da	11381
buna	görə	11280
adı	ilə	11276
ci	ilə	11196
obyektlər	kateqoriya	11087
cü	ildən	11068
və	bir	11039
futbolçuları	kateqoriya	10966
sonra	isə	10909
doğulanlar	kateqoriya	10888
ilə	təltif	10853
cı	ilin	10847
ildə	azərbaycan	10792
e	ə	10718
var	idi	10694
anadan	olub	10620
qalaktikalar	kateqoriya	10478
ildə	isə	10393
edir	və	10325
ən	çox	10279
edilmişdir	istinadlar	10221
il	tarixli	10213
hər	iki	10158
cü	illərdə	10025
kateqoriya	ssri	9940
cı	illərdə	9893
belə	ki	9763
ərazisinə	daxil	9756
inzibati	ərazi	9616
müqavilələri	kateqoriya	9611
baş	tutan	9554
olan	kənd	9492
bar	from	9483
üçün	istifadə	9397
bir	hissəsi	9368
olimpiya	oyunlarında	9321
kənd	əhalisi	9287
bar	text	9255
florası	kateqoriya	9235
bundan	sonra	9171
etdi	və	9103
növü	istinadlar	9073
qeydə	alınmış	9023
hər	bir	9021
kateqoriya	xx	8912
kəşf	edilmişdir	8881
səth	parlaqlığı	8875
olar	ki	8861
ola	bilər	8838
ikinci	dünya	8758
ci	illər	8741
till	bar	8712
nəfər	yaşayır	8693
şəhristanının	kəndləri	8559
daxil	olmaqla	8546
idi	və	8541
demək	olar	8508
text	bar	8459
kəşf	edən	8455
azərbaycan	milli	8422
xx	əsr	8396
kateqoriya	rusiya	8370
etmiş	və	8368
sənədli	film	8359
bir	müddət	8357
kataloqda	qeydə	8323
ümumi	kataloqda	8322
istiqamətində	yerləşir	8316
tarixi	qeydlər	8306
fəaliyyət	göstərir	8302
kəşf	tarixi	8289
tərəfindən	ildə	8288
göy	üzündə	8285
bürcü	istiqamətində	8280
məlumatına	görə	8276
edən	bayraq	8275
