orodha	ya	121587
ya	watakatifu	93389
marejeo	jamii	61220
mkoa	wa	36180
mito	ya	34557
viungo	vya	34301
vya	nje	33948
jamii	waliozaliwa	31857
mwaka	wa	29223
baada	ya	28878
tazama	pia	27137
waliozaliwa	jamii	27072
jamii	watu	26885
pamoja	na	26853
wilaya	ya	26363
lugha	ya	25536
kati	ya	23498
mpira	wa	19694
ya	mito	18945
watu	walio	18580
walio	hai	18275
kaunti	ya	17177
chuo	kikuu	17085
wa	marekani	16479
yake	ya	16031
kikuu	cha	15636
watakatifu	wa	15051
wakati	wa	14991
marejeo	viungo	14717
mkuu	wa	14695
wa	afrika	14273
ya	kwanza	14207
waliofariki	jamii	14023
pia	orodha	13878
bahari	ya	13877
ya	mwaka	13718
afrika	kusini	13700
timu	ya	13585
karne	ya	13555
miji	ya	13539
jamii	waliofariki	12989
idadi	ya	12987
mchezaji	wa	12869
watu	wa	12214
ya	kenya	11974
hai	jamii	11933
jamii	wachezaji	11778
geonames	org	11762
nje	geonames	11707
kabla	ya	11703
wa	kwanza	11316
chini	ya	11167
juu	ya	10878
wanawake	wa	10813
mji	wa	10739
mnamo	mwaka	10677
maisha	ya	10412
wachezaji	mpira	10296
jina	la	10293
org	jamii	10235
ya	taifa	10209
lugha	za	10124
jamii	wilaya	10124
jamii	mito	9789
tuzo	ya	9785
dhidi	ya	9685
ya	kati	9653
katika	mkoa	9485
kutokana	na	9457
jimbo	la	9411
ni	mchezaji	9323
maji	yake	9302
of	the	9248
ya	afrika	9176
na	hatimaye	9140
eneo	la	9000
wa	kanada	8926
jamii	wanawake	8779
nafasi	ya	8730
taifa	ya	8693
kundi	la	8608
sehemu	ya	8535
ya	wilaya	8519
akiwa	na	8372
kwa	ajili	8274
zaidi	ya	8203
klabu	ya	8200
mwaka	na	8188
chama	cha	8155
kama	vile	8131
ni	mji	8100
shule	ya	7982
kwa	sababu	7947
wa	miguu	7897
jamhuri	ya	7835
wa	miaka	7813
ya	uganda	7778
wa	zamani	7756
jamii	miji	7736
miaka	ya	7720
ajili	ya	7696
jamii	wanasiasa	7656
jamii	lugha	7583
ndani	ya	7576
wanasiasa	wa	7443
kenya	jamii	7430
wake	wa	7410
katika	chuo	7348
ya	mkoa	7323
ya	tanzania	7291
bunge	la	7252
wa	mpira	7245
katika	bahari	7045
tanzania	jamii	6982
yake	yanaishia	6882
wa	italia	6859
yanaishia	katika	6858
kata	ya	6811
historia	ya	6700
umri	wa	6674
upande	wa	6639
kufuatana	na	6440
jamii	mkoa	6345
mara	nyingi	6337
jamii	kaunti	6328
kazi	ya	6307
wa	lugha	6291
ya	watu	6276
mashindano	ya	6199
ni	pamoja	6196
zamani	wa	6164
sensa	iliyofanyika	6154
wa	kata	6106
katika	kundi	6037
shahada	ya	6035
kata	za	5994
pia	mito	5991
makala	za	5990
marekani	jamii	5929
ni	kata	5896
jamii	kata	5894
ya	awali	5871
ni	lugha	5863
hali	ya	5732
iko	katika	5721
katika	mto	5715
wa	sensa	5701
rais	wa	5694
ya	miji	5654
uainishaji	wa	5630
milima	ya	5627
ya	kaunti	5618
sensa	ya	5584
kazi	yake	5576
na	pia	5574
unapatikana	katika	5574
za	olac	5573
olac	kuhusu	5573
new	york	5551
nje	lugha	5546
katika	glottolog	5539
muziki	wa	5535
kwenye	multitree	5528
wa	shule	5507
wakazi	wapatao	5506
multitree	makala	5498
na	uainishaji	5475
mwanachama	wa	5461
kuwa	watu	5435
ya	wanawake	5431
ya	hindi	5421
wasemaji	wa	5419
haki	za	5405
kutoka	kwa	5400
kanisa	katoliki	5397
mwandishi	wa	5373
mmoja	wa	5289
hatimaye	katika	5289
kuanzia	mwaka	5271
ilikuwa	na	5270
jamii	nile	5231
watakatifu	wafransisko	5228
kwa	mara	5227
shule	za	5220
mwaka	hadi	5215
inayozungumzwa	na	5190
wa	idadi	5181
ya	kimataifa	5176
kati	tazama	5173
ya	wasemaji	5161
ya	wakazi	5138
na	wakazi	5124
la	kale	5086
na	umri	5061
tanbihi	jamii	5044
kombe	la	5039
imehesabiwa	kuwa	5024
mwanasiasa	wa	5018
wa	kanisa	5008
umoja	wa	4980
baadhi	ya	4972
za	mkoa	4972
mto	naili	4964
agano	la	4956
jamii	mediteranea	4945
karibu	na	4941
nile	jamii	4938
asili	ya	4931
kuu	ya	4931
uganda	jamii	4916
iliyofanyika	mwaka	4895
hata	hivyo	4869
serikali	ya	4830
naili	na	4809
kipindi	cha	4790
mshindi	wa	4782
wa	uingereza	4782
ya	kongo	4776
kuwa	na	4768
nchi	ya	4758
nchini	marekani	4707
afrika	orodha	4696
wa	agano	4676
katika	sensa	4674
visiwa	vya	4643
makala	hii	4615
shirika	la	4614
hii	inahusu	4595
watakatifu	wakristo	4561
wa	ufaransa	4553
mfumo	wa	4530
kale	orodha	4529
wakristo	orodha	4526
michezo	ya	4495
nchini	kenya	4469
ya	nchi	4461
uwanja	wa	4451
wa	chama	4436
pia	watakatifu	4401
kwa	mujibu	4394
mwaka	wakazi	4388
ya	miaka	4386
mujibu	wa	4369
katika	kaunti	4369
katika	eneo	4366
mwaka	marejeo	4302
za	kikristo	4293
ya	kristo	4286
mji	mkuu	4276
watumishi	wa	4275
kwanza	ya	4252
ya	juu	4249
wa	maria	4232
ya	kidemokrasia	4228
ni	mwanasiasa	4219
wa	soka	4214
mbio	za	4206
askofu	wa	4178
chuo	cha	4169
wa	filamu	4167
wafransisko	orodha	4160
mabradha	wa	4146
watakatifu	wabenedikto	4117
watakatifu	mabradha	4116
inahusu	mwaka	4116
watakatifu	wakarmeli	4115
watakatifu	waaugustino	4114
watakatifu	wadominiko	4114
watakatifu	wajesuiti	4114
watakatifu	wamersedari	4114
watakatifu	wapremontree	4114
watakatifu	wasalesiani	4114
watakatifu	waskolopi	4114
watakatifu	wateatini	4114
watakatifu	watrinitari	4114
watakatifu	watumishi	4114
watakatifu	wavinsenti	4114
kikristo	orodha	4113
waaugustino	orodha	4113
watakatifu	wabazili	4113
wabazili	orodha	4113
wabenedikto	orodha	4113
wadominiko	orodha	4113
wajesuiti	orodha	4113
wakarmeli	orodha	4113
watakatifu	wakolumbani	4113
wakolumbani	orodha	4113
wamersedari	orodha	4113
watakatifu	waoratori	4113
waoratori	orodha	4113
watakatifu	wapasionisti	4113
wapasionisti	orodha	4113
wapremontree	orodha	4113
watakatifu	waredentori	4113
waredentori	orodha	4113
wasalesiani	orodha	4113
waskolopi	orodha	4113
wateatini	orodha	4113
watrinitari	orodha	4113
maria	orodha	4112
kidemokrasia	ya	4098
ya	nobel	4093
baraza	la	4092
waziri	wa	4087
wa	tuzo	4075
kwa	sasa	4061
kwanza	wa	4036
kwa	ndani	4035
maaskofu	wakatoliki	4028
ya	na	4026
kulingana	na	4008
baba	yake	4006
kwa	muda	3992
wa	tanzania	3989
wa	nigeria	3981
ndani	zaidi	3981
waandishi	wa	3968
nobel	ya	3943
kristo	matukio	3942
katika	nchi	3933
lugha	kwa	3932
matukio	waliozaliwa	3903
kwa	jina	3902
mara	ya	3900
alifanya	kazi	3896
na	kwa	3895
alihudumu	kama	3892
miongoni	mwa	3856
jamii	karne	3830
katika	miaka	3829
kata	ilikuwa	3820
filamu	wa	3810
kampuni	ya	3804
yeye	ni	3800
na	timu	3787
kituo	cha	3786
ya	pili	3784
uwezo	wa	3781
ya	dunia	3765
alijiunga	na	3762
ya	marekani	3733
wakazi	wa	3727
njia	ya	3714
wavinsenti	tanbihi	3704
maendeleo	ya	3694
na	baadaye	3673
maeneo	ya	3651
elimu	ya	3645
kenya	orodha	3642
magharibi	mwa	3640
watu	kufuatana	3635
utawala	wa	3615
katika	mashindano	3592
dar	es	3580
afrika	ya	3578
ethnologue	jamii	3576
es	salaam	3569
jamii	maaskofu	3566
wa	kenya	3563
waliozaliwa	waliofariki	3563
na	kuwa	3555
wa	mwaka	3555
wa	japani	3552
kubwa	ya	3550
tangu	mwaka	3539
glottolog	lugha	3513
katika	wilaya	3503
filamu	ya	3488
wakati	huo	3487
moja	ya	3469
kaskazini	mwa	3456
kutoka	marekani	3453
katika	jimbo	3444
ni	kati	3430
nchini	tanzania	3407
katika	mji	3397
masuala	ya	3396
ligi	ya	3393
zaidi	kwa	3358
pia	ni	3342
sikukuu	yake	3339
katika	shule	3337
usawa	wa	3312
wa	habari	3301
wa	muziki	3287
matumizi	ya	3285
kisiwa	cha	3280
jeshi	la	3270
aina	ya	3252
kifo	chake	3240
kiongozi	wa	3231
wa	ujerumani	3209
kiwango	cha	3208
kufanya	kazi	3203
kwa	kawaida	3195
http	www	3193
ikiwa	ni	3192
waimbaji	wa	3190
kwenye	ethnologue	3179
tanbihi	viungo	3160
wa	bahari	3150
kazi	kama	3145
jamii	mto	3145
nje	ya	3144
jamii	bahari	3139
wa	kike	3132
huadhimishwa	tarehe	3131
wa	pili	3125
kutoka	chuo	3116
vita	vya	3099
kuanzia	hadi	3099
jamii	waimbaji	3098
kwa	njia	3092
kusini	jamii	3075
yake	katika	3059
kwanza	katika	3058
kwa	miaka	3057
la	afrika	3051
ya	muziki	3046
kwa	kuwa	3032
tangu	kale	3028
msimu	wa	3013
