😀	froh|fröhlich|gesicht|grinsen|haha|lachen|lol|lustig|smiley|grinsendes gesicht|cheerful|cheery|face|grin|grinning|happy|laugh|nice|smile|smiling|teeth|grinning face
😃	augen|fröhlich|gesicht|glücklich|grinsen|große|lächeln|lachen|lol|lustig|mund|offen|smiley|grinsendes gesicht mit großen augen|awesome|big|eyes|face|grin|grinning|happy|mouth|open|smile|smiling|teeth|yay|grinning face with big eyes
😄	augen|fröhlich|geschlossen|gesicht|glücklich|grinsen|lächeln|lachen|lol|lustig|mund|offen|smiley|witzig|grinsendes gesicht mit lachenden augen|eye|eyes|face|grin|grinning|happy|laugh|mouth|open|smile|smiling|grinning face with smiling eyes
😁	augen|fröhlich|gesicht|grinsen|happy|lächeln|lachen|lustig|smiley|strahlen|zähne|strahlendes gesicht mit lachenden augen|beaming|eye|eyes|face|grin|grinning|nice|smile|smiling|teeth|beaming face with smiling eyes
😆	augen|geschlossen|gesicht|grinsegesicht|grinsen|haha|hehe|hihi|lachen|lol|lustig|mund|offen|smiley|witzig|zugekniffen|zusammengekniffen|grinsegesicht mit zugekniffenen augen|closed|eyes|face|grinning|hahaha|happy|laugh|mouth|open|rofl|smile|smiling|squinting|grinning squinting face
😅	gesicht|grinsen|lächeln|lachen|lustig|mund|nervös|offen|schweiß|schweißtropfen|schwitzen|smiley|grinsendes gesicht mit schweißtropfen|cold|dejected|excited|face|grinning|mouth|nervous|open|smile|smiling|stress|stressed|sweat|grinning face with sweat
🤣	boden|gesicht|haha|hehe|lachen|lol|lustig|muahaha|rofl|smiley|tränen|wälzen|witzig|sich vor lachen auf dem boden wälzen|crying|face|floor|funny|happy|hilarious|joy|laugh|lmao|roflmao|rolling|tear|rolling on the floor laughing
😂	freude|freudentränen|fröhlich|gesicht|haha|happy|hehe|hihi|lachen|lol|lustig|muahaha|rofl|smiley|tränen|witzig|gesicht mit freudentränen|crying|face|feels|funny|hilarious|joy|laugh|lmao|roflmao|tear|face with tears of joy
🙂	gesicht|lächeln|leicht|smiley|leicht lächelndes gesicht|face|happy|slightly|smile|smiling|slightly smiling face
😉	auge|flirten|gesicht|sexy|smiley|zudrücken|zugedrückt|zukneifen|zuzwinkern|zwinkern|zwinkerndes gesicht|face|flirt|heartbreaker|slide|tease|wink|winking|winks|winking face
😊	augen|erröten|freude|freundlich|gesicht|glücklich|lächeln|lachen|rot|wangen|lächelndes gesicht mit lachenden augen|blush|eye|eyes|face|glad|satisfied|smile|smiling|smiling face with smiling eyes
😇	brav|engel|gesicht|glücklich|heiligenschein|lächeln|lieb|seelig|smiley|lächelndes gesicht mit heiligenschein|angel|angelic|angels|blessed|face|fairy|fairytale|fantasy|halo|happy|innocent|peaceful|smile|smiling|spirit|tale|smiling face with halo
🥰	3|anhimmeln|bewundern|gesicht|hdgdl|hdl|herzchen|herzen|lächeln|lieb|liebe|smiley|verknallt|verliebt|verzückt|lächelndes gesicht mit herzen|adore|crush|face|heart|hearts|ily|love|romance|smile|smiling|you|smiling face with hearts
😍	augen|gesicht|glücklich|herzen|herzförmig|lächeln|liebe|smiley|verliebt|lächelndes gesicht mit herzförmigen augen|143|bae|eye|face|feels|heart-eyes|hearts|ily|kisses|love|romance|romantic|smile|xoxo|smiling face with heart-eyes
