in	der	113526
in	den	53140
für	die	38711
und	die	34578
mit	dem	32362
mit	der	31113
und	der	28420
von	der	26206
an	der	24182
durch	die	22203
in	die	21021
auf	die	20748
bei	der	19968
aus	dem	19517
im	jahr	19373
ist	die	17909
auf	dem	17275
nach	dem	17050
vor	allem	16717
auf	der	16544
für	den	15909
zu	den	15831
auch	die	15702
aus	der	14562
von	den	14180
über	die	14030
sich	die	14022
der	stadt	13868
gibt	es	13767
nach	der	13647
mit	den	12662
auf	den	12452
ist	der	12399
in	einem	12199
von	bis	11690
dass	die	11420
an	die	11414
die	stadt	11241
sich	in	11059
und	in	10864
mit	einem	10462
wurde	die	10419
an	den	10179
und	das	10165
um	die	10129
in	einer	10053
mit	einer	10018
und	den	9925
durch	den	9906
unter	anderem	9879
ist	ein	9673
in	deutschland	9661
sind	die	9468
den	er	9437
auch	in	9269
und	dem	9112
er	jahren	9028
zu	einem	8981
für	das	8929
die	in	8906
die	sich	8756
zu	einer	8709
bei	den	8629
ist	eine	8539
in	dem	8397
am	nbsp	8262
nicht	mehr	7828
zum	beispiel	7806
ist	das	7764
bis	zu	7497
aber	auch	7339
die	von	7235
wurde	der	7125
der	er	7015
unter	dem	6995
bis	zum	6969
während	der	6967
gegen	die	6663
war	die	6637
gab	es	6493
mehr	als	6484
als	auch	6376
er	jahre	6327
befindet	sich	6326
sich	der	6167
aus	den	6122
als	die	6105
und	im	6098
seit	dem	5972
zwischen	und	5944
für	eine	5903
wie	die	5870
er	sich	5742
von	nbsp	5648
der	deutschen	5627
durch	das	5599
auch	der	5597
wurde	in	5507
auf	das	5481
über	den	5474
in	diesem	5466
sowie	die	5393
in	das	5344
war	der	5318
wurden	die	5274
die	erste	5248
wurde	das	5244
die	im	5158
wird	die	5127
ende	des	5095
und	eine	5082
auch	als	5079
sich	auf	5065
teil	der	5027
im	jahre	5021
nbsp	km	4997
es	sich	4987
und	damit	4974
von	einem	4973
nicht	nur	4958
vor	dem	4885
sich	im	4881
dass	der	4860
der	zeit	4795
wurde	von	4788
zwischen	den	4762
die	meisten	4758
des	landes	4735
im	rahmen	4715
kam	es	4713
vor	der	4695
so	dass	4694
zusammen	mit	4682
ist	in	4663
er	die	4653
in	seiner	4631
sich	mit	4569
und	wurde	4568
und	des	4537
durch	eine	4535
der	regel	4493
in	dieser	4487
der	ersten	4458
es	in	4458
werden	die	4422
nbsp	jahrhundert	4415
unter	der	4382
in	seinem	4354
einer	der	4328
wurde	er	4321
der	die	4321
von	einer	4291
die	die	4285
der	in	4283
nur	noch	4235
er	in	4212
um	den	4186
der	von	4164
es	gibt	4142
und	ist	4128
da	die	4122
dieser	zeit	4113
wurde	im	4103
auf	eine	4092
unter	den	4082
und	mit	4050
aufgrund	der	4018
teil	des	4008
die	beiden	3970
wird	der	3958
im	gegensatz	3953
auch	das	3925
wird	in	3912
und	von	3850
der	begriff	3785
die	er	3764
in	berlin	3755
der	sich	3755
nbsp	chr	3742
ende	der	3735
und	ein	3718
der	welt	3696
sich	das	3688
bis	in	3682
ist	es	3676
der	bevölkerung	3667
bis	heute	3637
während	des	3634
darüber	hinaus	3619
von	dem	3617
bis	zur	3609
eine	der	3604
die	mit	3601
etwa	nbsp	3595
sich	auch	3524
der	erste	3522
war	ein	3521
je	nach	3501
seit	der	3493
den	usa	3478
über	das	3466
lässt	sich	3457
dass	er	3456
siehe	auch	3450
sich	um	3424
sind	in	3409
dass	es	3392
für	einen	3346
der	name	3335
es	ist	3309
werden	kann	3307
innerhalb	der	3305
die	ersten	3303
und	auch	3291
auch	für	3283
dass	sie	3225
nbsp	nbsp	3223
bei	dem	3219
befinden	sich	3218
an	das	3212
waren	die	3204
bei	einer	3185
auch	im	3174
sie	in	3160
um	eine	3156
sie	sich	3153
in	denen	3135
die	deutsche	3135
bei	einem	3087
wie	der	3078
durch	einen	3074
wurde	am	3066
dem	jahr	3055
aber	nicht	3051
als	der	3050
der	schweiz	3037
auf	einer	3031
des	nbsp	3024
in	europa	3024
im	bereich	3017
die	auf	3005
gegen	den	2979
nach	einer	2964
und	nbsp	2949
wurden	in	2939
war	er	2937
auch	eine	2937
im	zuge	2936
nach	einem	2936
neben	der	2926
wegen	der	2918
als	eine	2911
im	norden	2895
auf	einem	2892
werden	können	2883
oder	die	2872
der	ddr	2872
und	nach	2868
wird	von	2863
es	zu	2848
nach	den	2844
sowie	der	2841
den	ersten	2824
um	das	2803
und	als	2803
in	eine	2795
die	den	2794
war	das	2785
zweiten	weltkrieg	2783
hat	sich	2769
das	land	2762
lassen	sich	2755
der	im	2755
prozent	der	2732
zur	verfügung	2706
im	süden	2687
dass	sich	2676
und	auf	2676
nur	in	2674
nur	die	2670
während	die	2670
das	erste	2669
die	der	2659
den	jahren	2659
wird	das	2655
werden	in	2655
des	deutschen	2651
zwischen	dem	2646
neben	dem	2642
zu	können	2638
sich	als	2636
nbsp	jahrhunderts	2635
jedoch	nicht	2631
bis	nbsp	2625
die	als	2620
und	zu	2615
die	durch	2605
finden	sich	2579
und	seine	2574
ist	auch	2549
ab	dem	2526
eine	weitere	2517
sich	von	2508
und	wird	2506
und	nicht	2503
immer	wieder	2503
in	form	2495
im	westen	2494
auch	auf	2486
dass	das	2481
in	vielen	2470
zum	teil	2449
eines	der	2444
über	eine	2435
die	für	2434
die	bezeichnung	2431
die	zahl	2429
er	mit	2426
vereinigten	staaten	2414
der	universität	2409
als	ein	2399
der	region	2386
hat	die	2384
und	sich	2380
sondern	auch	2379
mit	seiner	2378
mit	nbsp	2372
besteht	aus	2372
er	als	2371
von	ihm	2370
auch	von	2369
beginn	des	2366
im	laufe	2358
gegensatz	zu	2358
nicht	in	2354
mit	hilfe	2348
ist	mit	2343
allem	in	2336
us	dollar	2334
und	für	2330
sie	die	2325
neben	den	2322
auch	bei	2316
nbsp	prozent	2311
und	war	2310
in	ihrer	2308
new	york	2306
rahmen	der	2306
noch	nicht	2304
im	deutschen	2300
für	ein	2294
seit	den	2281
und	einer	2276
er	den	2275
sich	aus	2272
wo	er	2271
zu	beginn	2271
oder	der	2262
im	osten	2255
wird	als	2244
ist	nicht	2242
jahr	wurde	2238
mit	seinem	2236
worden	war	2226
der	zweiten	2224
die	entwicklung	2223
von	denen	2214
wie	auch	2213
im	nbsp	2211
man	die	2203
sich	ein	2190
und	andere	2190
wurde	ein	2187
mitte	des	2186
sich	nicht	2185
gilt	als	2178
im	mai	2177
sich	bei	2155
im	märz	2152
zahl	der	2151
zu	dem	2150
wie	in	2149
eine	große	2146
sich	an	2145
das	von	2145
wurde	mit	2144
den	meisten	2144
im	oktober	2133
des	jahres	2128
auf	einen	2126
in	seinen	2124
entwickelte	sich	2122
sie	ist	2120
der	erde	2113
im	dezember	2109
das	in	2102
kann	man	2101
für	seine	2096
des	zweiten	2096
der	europäischen	2094
sich	eine	2092
es	auch	2091
wenn	die	2090
aus	einem	2083
eine	neue	2082
und	durch	2079
da	sie	2078
im	vergleich	2078
steht	für	2074
nicht	zu	2069
und	es	2065
im	sommer	2064
die	aus	2062
aus	einer	2055
im	selben	2048
sich	durch	2046
auch	ein	2043
am	ende	2039
den	namen	2037
dem	zweiten	2028
zwischen	der	2018
ist	und	2017
bereich	der	2017
den	letzten	2011
und	bei	1999
auf	und	1993
werden	und	1987
im	sinne	1984
auch	mit	1981
im	november	1979
im	september	1974
der	beiden	1973
die	das	1972
durch	ein	1972
wird	durch	1970
zu	der	1964
als	das	1962
der	nähe	1958
im	juni	1951
zuge	der	1949
dem	nbsp	1949
die	nicht	1948
wie	das	1945
im	januar	1937
von	etwa	1936
handelt	es	1929
zu	finden	1927
zu	sehen	1927
eine	reihe	1924
nicht	als	1923
die	nach	1921
bei	denen	1919
bereits	im	1918
ein	und	1917
anzahl	der	1916
ist	im	1915
die	eine	1914
im	juli	1912
wird	auch	1907
und	am	1895
wurde	und	1894
war	es	1894
zu	sein	1892
der	mit	1889
für	alle	1888
bis	dahin	1881
die	größte	1881
der	insel	1878
in	österreich	1872
gemeinsam	mit	1871
in	allen	1866
wurde	als	1863
damit	die	1856
wurde	eine	1855
zu	diesem	1854
er	im	1853
an	einer	1852
des	ersten	1851
es	im	1850
im	april	1848
und	er	1846
dem	die	1845
hälfte	des	1845
dem	namen	1844
das	gebiet	1844
an	einem	1842
reihe	von	1841
mit	seinen	1838
denen	die	1834
oder	auch	1826
sich	für	1826
in	paris	1824
beginn	der	1822
bis	auf	1820
es	die	1813
zeit	der	1812
oder	in	1808
die	drei	1801
der	neuen	1801
in	frankreich	1801
war	eine	1797
es	eine	1795
die	möglichkeit	1795
und	einem	1792
bereits	in	1791
sich	nach	1791
den	beiden	1788
ist	dass	1788
zu	dieser	1786
ergibt	sich	1785
war	und	1784
die	bis	1783
nicht	die	1783
zu	seinem	1783
an	dem	1782
es	wird	1781
wurde	durch	1780
findet	sich	1780
im	august	1778
und	an	1778
und	ihre	1766
er	war	1762
nur	eine	1755
in	anderen	1755
ab	und	1751
in	einigen	1749
das	wort	1738
wie	bei	1735
dem	titel	1731
sie	als	1728
auf	ein	1719
und	anderen	1714
ist	seit	1712
die	regierung	1711
jahre	später	1708
die	anzahl	1705
und	zum	1703
der	geschichte	1702
der	schlacht	1697
die	geschichte	1694
der	sowjetunion	1694
die	zu	1693
und	somit	1690
und	deren	1689
wenn	sie	1685
zu	haben	1683
mitglied	der	1682
die	auch	1680
zum	ersten	1679
selben	jahr	1678
an	und	1677
auch	den	1676
kann	die	1674
und	so	1673
über	einen	1671
im	februar	1669
das	heißt	1668
und	einen	1665
auch	wenn	1662
wobei	die	1658
